,date,open,close,high,low,volume,code
349,2003-02-21,-113.874,-113.903,-113.86,-113.938,2268.93,600519
350,2003-02-24,-113.881,-113.917,-113.881,-113.936,615.66,600519
351,2003-02-25,-113.918,-113.803,-113.801,-113.922,1878.59,600519
352,2003-02-26,-113.791,-113.84,-113.772,-113.844,1082.15,600519
353,2003-02-27,-113.831,-113.832,-113.786,-113.866,1697.61,600519
354,2003-02-28,-113.805,-113.821,-113.805,-113.86,1360.45,600519
355,2003-03-03,-113.805,-113.703,-113.69,-113.805,6000.93,600519
356,2003-03-04,-113.703,-113.729,-113.696,-113.77,1909.5,600519
357,2003-03-05,-113.729,-113.619,-113.59,-113.76,9405.01,600519
358,2003-03-06,-113.606,-113.684,-113.606,-113.717,4507.69,600519
359,2003-03-07,-113.68,-113.721,-113.666,-113.743,2475.45,600519
360,2003-03-10,-113.713,-113.801,-113.702,-113.805,3103.4,600519
361,2003-03-11,-113.811,-113.821,-113.801,-113.87,1964.49,600519
362,2003-03-12,-113.823,-113.809,-113.801,-113.86,1177.17,600519
363,2003-03-13,-113.805,-113.793,-113.731,-113.811,1997.58,600519
364,2003-03-14,-113.805,-113.817,-113.793,-113.836,2756.42,600519
365,2003-03-17,-113.825,-113.856,-113.825,-113.881,4692.92,600519
366,2003-03-18,-113.86,-113.92,-113.84,-113.952,3147.9,600519
367,2003-03-19,-113.975,-113.995,-113.918,-114.004,3397.92,600519
368,2003-03-20,-113.977,-113.979,-113.893,-113.997,1968.4,600519
369,2003-03-21,-113.977,-113.893,-113.887,-113.977,2021.07,600519
370,2003-03-24,-113.895,-113.917,-113.879,-113.938,1718.7,600519
371,2003-03-25,-113.932,-113.977,-113.917,-113.997,2062.38,600519
372,2003-03-26,-113.977,-114.036,-113.889,-114.075,3589.51,600519
373,2003-03-27,-114.04,-113.952,-113.924,-114.092,2105.65,600519
374,2003-03-28,-113.938,-113.969,-113.928,-113.975,3810.7,600519
